char	code	code_short	code_more	key_unit	stroke_unit	char_unit	units	flag	segments
一	ggll	g/ggl		0	1	1	〖※※※〗		0/0
乙	nnll	nnl		0	1	1	〖※※※〗		0/0
二	fgg	fg		0	0	1	〖※※〗		0,1/0/1
十	fgh			0	0	1	〖※※〗		0,1/0/1
丁	sgh			0	0	1	〖※※〗		0,1/0/1
厂	dgt			0	0	1	〖※※〗		0,1/0/1
七	agn	ag		0	0	1	〖※※〗		0,1/0/1
卜	hhy			0	0	1	〖※※〗		0,1/0/1
八	wty			0	0	1	〖※※〗		0,1/0/1
人	wwww	w		1	0	1	〖※※※〗		0,1/0,1/0,1/0,1
入	tyi	ty		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1
儿	qtn	qt		0	0	1	〖※※〗		0,1/0/1
匕	xtn			0	0	1	〖※※〗		0,1/0/1
几	mtn	mt		0	0	1	〖※※〗		0,1/0/1
九	vtn	vt		0	0	1	〖※※〗		0,1/0/1
刁	ngd			0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0/1
了	bnh	b		0	0	1	〖※※〗		0,1/0/1
刀	vnt	vn		0	0	1	〖※※〗		0,1/0/1
力	ltn	lt	⊙lnt	0	0	1	〖※※〗		*0,1/1/0
乃	etn		⊙ent	0	0	1	〖※※〗		*0,1/1/0
又	cccc	ccc		1	0	1	〖※※※〗		0,1/0,1/0,1/0,1
三	dggg	dg		0	0	1	〖※※※〗		0-2/0/1/2
干	fggh			0	0	1	〖※※※〗		0-2/0/1/2
于	gfk	gf		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0/1,2
亏	fnv			0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2
工	aaaa	a/aaa		1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
土	ffff			1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
士	fghg			0	0	1	〖※※※〗		0-2/0/1/2
才	fte	ft		0	0	0	〖※※〗	丿·杂合〔丿 ⿻〕	0,1/2
下	ghi	gh		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1,2
寸	fghy			0	0	1	〖※※※〗		0-2/0/1/2
大	dddd	dd		1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
丈	dyi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
与	gngd	gn/gng		0	0	0	〖※※※〗	横·杂合〔一 ⿻〕	0/1/2
万	dnv			0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,2/1
上	hhgg	h		0	0	1	〖※※※〗		0-2/0/1/2
小	ihty	ih/iht		0	0	1	〖※※※〗		0-2/0/1/2
口	kkkk			1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
山	mmmm	mmm		1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
巾	mhk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2
千	tfk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0/1,2
乞	tnb			0	0	0	〖※※〗	折·上下〔乛 ⿱〕	0,1/2
川	kthh			0	0	1	〖※※※〗		0-2/0/1/2
亿	wnn	wn		0	0	0	〖※※〗	折·左右〔乛 ⿰〕	0,1/2
个	whj	wh		0	0	0	〖※※〗	竖·上下〔丨 ⿱〕	0,1/2
夕	qtny			0	0	1	〖※※※〗		0-2/0/1/2
久	qyi	qy		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
么	tcu	tc		0	0	0	〖※※〗	捺·上下〔丶 ⿱〕	0/1,2
勺	qyi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
凡	myi	my		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
丸	vyi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
及	eyi	ey		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
广	yygt	yyg		0	0	1	〖※※※〗		0-2/0/1/2
亡	ynv			0	0	0	〖※※〗	折·杂合〔乛 ⿻〕	0,1/2
门	uyhn	uyh		0	0	1	〖※※※〗		0-2/0/1/2
丫	uhk			0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0,1/2
义	yqi	yq		0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1,2
之	pppp	pp/ppp		1	0	0	〖※※※〗		0-2/0-2/0-2/0-2
尸	nngt			0	0	1	〖※※※〗		0-2/0/1/2
己	nngn	nng		0	0	1	〖※※※〗		0-2/0/1/2
已	nnnn			1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
巳	nngn			0	0	1	〖※※※〗		0-2/0/1/2
弓	xngn	xng		0	0	1	〖※※※〗		0-2/0/1/2
子	bbbb	bb/bbb		1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
卫	bgd	bg		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0,1/2
也	bnhn	bn		0	0	1	〖※※※〗		0-2/0/1/2
女	vvvv	vvv		1	0	1	〖※※※〗		0-2/0-2/0-2/0-2
刃	vyi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
飞	nui			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0/1,2
习	nud	nu		0	0	0	〖※※〗	横·杂合〔一 ⿻〕	0/1,2
叉	cyi			0	0	0	〖※※〗	捺·杂合〔丶 ⿻〕	0,1/2
马	cnng	cn/cnn		0	0	1	〖※※※〗		0-2/0/1/2
乡	xte			0	0	0	〖※※〗	丿·杂合〔丿 ⿻〕	0,1/2
丰	dhk	dh		0	0	0	〖※※〗	竖·杂合〔丨 ⿻〕	0-2/3
